Job title,Company,Deadline,Location
Microsoft Dynamics Administrator,BDO Armenia CJSC,05 May 2024,Yerevan
Recruitment Manager,Երեմյան Փրոջեքթս,05 May 2024,Yerevan
Warehouse Manager,AeroDynamics,05 May 2024,Yerevan
"Tech Lead .NET, CRM Software",DataArt Armenia,05 May 2024,Yerevan
Project Assistant,«ՖՐԻԴՐԻԽ-ԷԲԵՐՏ ՀԻՄՆԱԴՐԱՄԻ ՀԱՅԱՍՏԱՆՅԱՆ ՄԱՍՆԱՃՅՈՒՂ» ԱՍ,04 May 2024,Yerevan
Call Center Agent,ARMENIAN IMMIGRATION CENTER,05 May 2024,Yerevan
QA Automation Engineer with C#/.NET,SoftConstruct,05 May 2024,Yerevan
Junior-Mid Java Developer,Rockbite Games,30 April 2024,Yerevan
"Инженер, ответственный за техническое состояние офиса",Hestia Facilities Management,30 April 2024,Yerevan                                            (Remote)
Head of HRM,«Հայաստանի հանրային հեռուստաընկերություն» ՓԲԸ,05 May 2024,Yerevan
Game Presenter,Evolution,05 May 2024,Yerevan
Գլխավոր ինժեներ/ինժեներ շինարար,Maisich Group,05 May 2024,Yerevan
Կոնտակտային կենտրոնի մասնագետ (Գյումրի),Digitain,04 May 2024,Gyumri
Credit Controller Operator,Jermuk International Pepsi-Cola Bottler LLC,05 May 2024,Yerevan
Փրայվիթ հաճախորդների հետ աշխատանքի մենեջեր,"""Ardshinbank"" CJSC",15 April 2024,Yerevan
Պրոդուկտների մշակման և մեթոդաբանության ուղղության վերլուծաբան,"""Ardshinbank"" CJSC",15 April 2024,Yerevan
Սրահի մենեջեր/Վարդենիս մասնաճյուղ,"""Ardshinbank"" CJSC",15 April 2024,Vardenis
IT support specialist,AMX,21 April 2024,Yerevan
Սպասարկող մասնագետ/Մեղրի մասնաճյուղ,"""Ardshinbank"" CJSC",15 April 2024,Meghri
"Retail NPA Management Division, NPA Management Service, Internal Control Department,  specialist",Ameriabank CJSC,17 April 2024,Yerevan
DBA Engineer,DataArt Armenia,04 May 2024,Yerevan
"Senior iOS Developer, Digital Applications",DataArt Armenia,04 May 2024,Yerevan
Lead DBA,DataArt Armenia,04 May 2024,Yerevan
Operations Manager,staff.am,30 April 2024,Yerevan
Technical Compliance Specialist,Digitain,04 May 2024,Yerevan
IT Specialist,Ramada Hotel & Suites Yerevan,04 May 2024,Yerevan
Վաճառքի մենեջեր,Aras Food LLC,04 May 2024,Yerevan
SMM Specialist,Jermuk International Pepsi-Cola Bottler LLC,04 May 2024,Yerevan
Ավագ Հյուրընկալ,Jellyfish Yerevan,04 May 2024,Yerevan
Որակի ապահովման մասնագետ | QA,IDBank CJSC,19 April 2024,Yerevan
Senior Database Administrator,ACRA CREDIT REPORTING CJSC,18 April 2024,Yerevan
Compliance officer,ACRA CREDIT REPORTING CJSC,04 May 2024,Yerevan
Information Security Senior Specialist,ACRA CREDIT REPORTING CJSC,18 April 2024,Yerevan
Senior Accountant,DANZ,04 May 2024,Yerevan
Intern/Junior Consultant,CIVITTA AM,30 April 2024,Yerevan
Mid/Senior Content Writer,10Web,04 May 2024,Yerevan
Development Director,«Miasin»  international charity foundation,04 May 2024,Yerevan
